,set,spectral_centroid,rolloff,zecr,flux
0,0,1951.5,4267.0,1071.6,13.733
1,0,1518.8,3212.7,707.2,11.949
2,0,1636.6,3425.9,820.57,14.852
3,0,1768.7,3789.5,923.58,12.046
4,0,1866.9,3941.5,933.09,15.325
5,0,1614.2,3350.7,797.74,13.461
6,0,1277.5,2465.9,650.95,12.654
7,0,1596.3,3278.4,795.26,12.729
8,0,1543.9,3228.0,764.22,14.446
9,0,1412.1,2702.1,667.66,11.479
10,0,2004.7,4123.9,1134.0,7.4987
11,0,1820.7,4002.0,769.74,11.663
12,0,2181.8,4574.9,1262.5,13.227
13,0,1490.5,2983.4,784.98,16.151
14,0,1563.8,3308.6,709.11,16.262
15,0,1720.0,3834.8,750.85,18.734
16,0,1931.5,4428.2,864.79,27.561
17,0,1726.4,3494.4,903.54,21.523
18,0,1749.2,3733.3,854.82,16.183
19,0,1625.4,3426.6,789.78,19.219
20,0,1485.6,3103.6,640.25,18.011
21,0,1909.7,4077.2,1023.6,23.743
22,0,1885.6,4206.6,781.94,27.861
23,0,2256.1,4801.0,1331.4,15.948
24,0,1664.6,3463.9,808.43,16.366
25,0,1562.6,3190.9,817.03,16.156
26,0,1691.6,3615.3,832.79,17.712
27,0,1984.5,4296.4,979.74,19.746
28,0,1472.8,2993.8,716.42,12.698
29,0,1371.5,3051.9,469.03,16.066
30,0,1623.3,3386.9,762.85,14.117
31,0,1479.2,3149.9,660.41,16.502
32,0,1462.4,3063.9,720.92,11.123
33,0,1426.0,2918.6,632.99,11.925
34,0,1156.9,2365.1,482.64,15.054
35,0,1505.1,3216.0,667.43,12.479
36,0,1604.8,3525.6,647.94,13.244
37,0,1561.4,3383.7,691.1,15.941
38,0,1512.6,3092.4,693.8,8.6124
39,0,1102.8,1947.9,281.04,15.879
40,0,1891.1,3582.6,1103.0,5.7049
41,0,1626.5,3431.8,641.74,15.115
42,0,2239.9,4567.4,1160.4,9.8434
43,0,1366.5,2582.2,843.83,14.562
44,0,2147.1,4864.2,958.27,26.328
45,0,3837.2,7588.4,2451.8,15.674
46,0,2094.7,4671.3,888.91,11.955
47,0,2276.5,4406.0,1285.7,16.221
48,0,2422.8,5194.8,1244.7,18.986
49,0,2185.9,5059.7,877.96,20.297
50,0,2265.9,5120.4,1407.1,21.375
51,0,3928.9,7215.9,2988.9,19.294
52,0,3032.9,6749.6,1495.5,34.206
53,0,1805.0,3710.4,974.31,9.4785
54,0,2218.0,4906.3,1113.8,12.913
55,0,2198.6,4777.2,900.45,16.918
56,0,1897.2,4048.7,917.32,13.711
57,0,1912.8,4087.1,863.25,14.95
58,0,2338.5,4853.4,1229.5,14.006
59,0,2382.0,5153.9,1294.1,19.617
60,0,2214.0,4437.5,1311.3,3.0673
61,0,2812.2,5879.0,1485.2,28.979
62,0,1768.0,3997.3,677.87,7.8715
63,0,1714.0,3512.4,911.15,12.646
64,0,2631.3,6034.9,1101.0,26.801
65,0,1810.9,3750.9,914.25,40.094
66,0,1484.2,2914.5,746.08,19.545
67,0,1613.4,3185.2,661.05,19.278
68,0,1812.2,3672.4,862.92,11.888
69,0,2104.6,4481.8,892.94,16.555
70,0,2014.3,4407.3,667.91,16.625
71,0,2681.1,5634.6,1322.1,20.615
72,0,2790.1,5983.9,1513.6,22.82
73,0,1934.0,4475.0,559.86,28.479
74,0,1930.9,4471.4,558.77,28.475
75,0,2336.9,4567.5,1473.9,26.337
76,0,2133.7,4390.8,976.82,29.167
77,0,1653.4,3530.5,674.22,17.651
78,0,1982.4,3997.6,1012.4,14.891
79,0,2793.3,4991.8,2053.3,13.39
80,0,2312.0,4849.4,1055.2,29.134
81,0,2292.3,4857.7,1087.4,26.96
82,0,2292.3,4857.7,1087.4,26.96
83,0,1229.4,2257.0,782.85,7.1577
84,0,1644.4,3417.6,832.42,17.476
85,0,1694.3,3278.3,1110.4,17.322
86,0,2025.5,6419.5,2989.7,84.619
87,0,2652.9,5942.3,1339.0,25.876
88,0,3576.1,7936.8,2044.4,19.979
89,0,938.41,1733.2,419.18,21.555
90,0,2507.3,5172.2,1441.4,20.809
91,0,2181.6,4318.8,1352.1,10.619
92,0,2043.5,4065.1,1309.1,14.258
93,0,1858.6,3817.2,972.22,16.506
94,0,1847.5,3513.0,1051.6,20.257
95,0,2542.9,5551.9,1153.6,28.46
96,0,1544.3,2990.8,912.68,18.528
97,0,1849.1,3841.5,1034.3,14.524
98,0,1829.5,3918.9,727.31,17.47
99,0,2234.1,4381.5,1536.0,27.892
100,1,3114.4,6189.0,2011.6,21.292
101,1,2808.9,5891.3,1664.0,17.854
102,1,2101.5,4302.7,1389.9,23.611
103,1,2669.3,5131.8,1829.5,27.878
104,1,3309.7,6797.1,2129.7,12.65
105,1,2371.1,4830.9,1487.7,20.921
106,1,3116.1,6080.2,2195.7,8.8095
107,1,2894.6,5772.7,1859.8,13.301
108,1,2777.7,5906.2,1538.3,10.543
109,1,2172.2,5012.1,1043.4,58.276
110,1,3003.9,5604.0,2195.4,23.434
111,1,2672.4,5125.5,1912.6,44.728
112,1,2724.5,5121.2,1947.4,21.817
113,1,3010.7,5659.2,2249.2,17.517
114,1,2810.3,5106.4,2056.7,14.747
115,1,2897.5,5679.5,1850.5,21.24
116,1,2697.3,5050.5,1984.7,54.015
117,1,2660.5,5312.4,1736.9,24.587
118,1,2285.4,3890.3,2023.8,24.343
119,1,2679.1,5345.4,1778.7,21.157
120,1,2636.8,5304.2,1672.1,23.776
121,1,2961.1,5638.5,2126.9,20.05
122,1,2086.7,4588.5,1164.2,32.756
123,1,2422.1,4859.0,1427.8,33.674
124,1,2310.8,4797.7,1427.9,43.347
125,1,2290.4,4442.6,1394.2,19.497
126,1,2795.6,5142.2,2152.1,25.007
127,1,2350.8,4794.6,1422.9,31.461
128,1,2704.2,5238.3,1984.3,26.26
129,1,2827.5,5778.6,1822.1,15.667
130,1,1408.2,3141.5,571.23,39.858
131,1,2428.9,5195.0,1386.5,37.817
132,1,2386.7,4601.3,1622.9,23.468
133,1,1988.6,4140.1,1141.3,46.323
134,1,2569.9,5113.8,1765.3,16.307
135,1,2743.7,5519.3,1789.1,48.42
136,1,2649.6,5270.4,1770.3,22.028
137,1,2198.2,4663.0,1356.1,19.012
138,1,2539.0,4850.5,1631.3,24.231
139,1,1897.3,4135.1,929.92,22.636
140,1,2632.2,4987.5,1832.5,19.568
141,1,2169.3,4057.8,1505.9,17.542
142,1,2382.9,4434.9,1663.9,16.497
143,1,2617.3,4874.3,1950.3,17.273
144,1,2677.1,5121.1,1880.8,18.364
145,1,2307.0,4327.4,1605.8,15.564
146,1,2706.6,5360.9,1799.7,38.419
147,1,2836.6,5355.7,1989.6,38.733
148,1,2782.8,5380.7,1942.4,39.044
149,1,2878.4,5361.3,2132.2,40.862
150,1,2867.4,5486.0,1949.5,45.803
151,1,3250.4,6020.9,2500.0,42.063
152,1,2579.9,4908.1,1786.5,46.346
153,1,2816.1,5408.6,1909.4,42.397
154,1,3007.9,5729.1,2160.2,38.74
155,1,3005.1,5618.5,2183.2,41.853
156,1,2915.3,5545.2,1997.6,42.864
157,1,2562.9,5027.9,1601.2,34.317
158,1,2393.1,4883.4,1566.5,35.102
159,1,2387.5,4663.0,1656.4,33.451
160,1,2239.3,4507.9,1503.1,23.673
161,1,2632.2,4987.5,1832.5,19.568
162,1,2169.3,4057.8,1505.9,17.542
163,1,2382.9,4434.9,1663.9,16.497
164,1,2617.3,4874.3,1950.3,17.273
165,1,2677.1,5121.1,1880.8,18.364
166,1,2307.0,4327.4,1605.8,15.564
167,1,2160.0,4240.7,1319.6,24.445
168,1,2200.0,4448.9,1428.9,18.394
169,1,1614.7,3844.1,587.91,25.799
170,1,2646.2,5475.7,1554.6,8.7072
171,1,2703.7,5528.0,1671.6,21.82
172,1,2253.0,4577.4,1285.2,33.075
173,1,2497.2,5292.7,1339.5,54.11
174,1,2601.4,5362.4,1469.0,7.791
175,1,1932.7,4125.8,968.85,41.374
176,1,2694.6,5250.7,1778.9,18.439
177,1,2653.1,5312.0,1760.0,27.805
178,1,2654.6,5637.3,1450.5,52.255
179,1,2598.8,5181.8,1597.7,22.341
180,1,2735.5,5778.6,1590.1,27.3
181,1,2034.7,4010.2,1323.7,34.928
182,1,2349.5,4696.9,1575.1,25.858
183,1,2227.9,4536.8,1345.1,38.19
184,1,2401.9,4858.1,1519.3,44.631
185,1,2525.6,5131.5,1734.9,28.581
186,1,2535.7,5066.5,1752.0,15.955
187,1,3181.1,6519.7,2036.9,49.827
188,1,1882.9,3935.1,1031.5,21.925
189,1,1354.2,3047.7,513.7,41.082
190,1,2044.5,4519.6,942.41,23.589
191,1,2197.8,4802.5,1337.7,18.233
192,1,1973.9,4217.8,1030.5,24.922
193,1,2553.5,5080.7,1535.2,16.073
194,1,2569.9,5113.8,1765.3,16.307
195,1,2308.4,4949.3,1310.4,32.854
196,1,2428.5,5007.0,1417.1,34.722
197,1,1955.4,4164.9,985.13,35.87
198,1,2129.5,4309.2,1224.9,24.703
199,1,2266.5,4737.7,1198.6,29.568
200,2,2552.4,5230.1,1635.0,25.331
201,2,2452.0,4968.4,1099.5,37.134
202,2,1428.3,2834.5,665.7,15.996
203,2,2267.1,4618.4,1158.4,45.427
204,2,2100.0,4348.2,1106.5,30.72
205,2,2593.7,5625.2,1371.3,47.515
206,2,2625.4,5587.2,1408.0,47.209
207,2,1888.4,4087.5,863.14,43.498
208,2,2863.5,5429.1,1939.9,23.062
209,2,2084.8,4464.2,1058.2,43.992
210,2,2235.9,4542.1,1356.3,33.301
211,2,2057.0,4466.0,1050.8,39.129
212,2,1896.3,4075.2,966.67,34.627
213,2,1737.5,3446.2,1063.6,25.02
214,2,2319.7,4589.0,1455.3,33.388
215,2,2304.5,5096.9,1281.7,25.513
216,2,2271.7,4581.0,1221.2,31.257
217,2,2032.3,4678.8,891.66,32.022
218,2,2686.4,5320.2,1602.9,31.628
219,2,2196.2,4624.6,1082.5,42.834
220,2,2358.4,4797.3,1203.8,21.901
221,2,2348.8,4840.9,1365.8,43.731
222,2,1860.4,4160.4,837.42,29.922
223,2,2109.0,4444.5,1181.5,30.314
224,2,2390.1,4619.9,1535.4,33.034
225,2,2158.5,4536.6,1185.0,41.781
226,2,3250.9,6665.4,1902.5,27.644
227,2,2351.1,5082.4,1121.0,20.823
228,2,2498.4,5219.9,1216.3,25.116
229,2,2762.3,5890.1,1248.9,23.454
230,2,3669.8,7591.1,1894.1,37.951
231,2,2856.7,6407.4,1501.6,34.289
232,2,1984.6,4133.5,915.07,20.619
233,2,2889.0,6006.9,1686.0,34.598
234,2,3114.5,6241.7,1870.7,42.381
235,2,2517.4,5652.9,1164.1,24.642
236,2,2511.1,4992.1,1284.6,13.005
237,2,3482.1,6838.7,2395.5,27.204
238,2,2271.8,4608.5,1112.7,51.258
239,2,2460.0,5364.5,1177.9,32.326
240,2,2142.2,4520.2,1048.7,19.333
241,2,2568.1,5363.6,1331.6,31.032
242,2,2628.4,5553.3,1125.9,36.364
243,2,1625.5,3328.6,676.69,22.15
244,2,2285.7,4035.8,1489.2,5.8686
245,2,2460.0,5364.5,1177.9,32.326
246,2,2135.2,4623.8,1001.0,39.71
247,2,2879.6,6793.8,1170.8,40.751
248,2,2307.1,5217.7,887.17,40.47
249,2,2970.1,6451.3,1189.9,51.513
250,2,1482.5,3035.2,467.23,39.444
251,2,2282.7,4805.0,1100.0,37.262
252,2,2377.5,5264.2,892.54,18.361
253,2,2766.4,6310.0,1163.4,19.291
254,2,3081.0,7297.9,1376.7,21.772
255,2,1605.7,3208.3,789.97,19.306
256,2,2145.2,4809.6,773.74,25.757
257,2,1694.1,3555.2,562.16,32.876
258,2,2571.9,5071.7,1529.1,24.087
259,2,1830.2,3931.3,690.65,26.667
260,2,1539.2,3265.5,584.64,23.258
261,2,1721.4,3560.2,741.29,28.082
262,2,2177.0,4455.9,1213.2,30.567
263,2,2319.8,4779.3,1350.6,28.621
264,2,2182.3,4774.3,866.93,35.362
265,2,2139.8,4579.4,985.2,33.867
266,2,2037.5,4307.7,865.8,25.786
267,2,2693.8,6175.9,1385.2,36.74
268,2,2429.2,5389.8,1062.6,40.316
269,2,3132.4,6815.6,1332.0,47.75
270,2,2223.6,5263.2,753.31,42.852
271,2,2806.2,6836.1,1143.6,35.719
272,2,1656.2,3469.6,599.57,36.837
273,2,2336.4,5286.9,929.21,52.103
274,2,2602.7,5678.1,1217.9,34.254
275,2,2766.7,5970.8,1639.6,32.142
276,2,2117.4,4412.1,1126.5,30.525
277,2,2832.3,6212.2,1545.5,43.136
278,2,2117.4,4412.1,1126.5,30.525
279,2,2916.4,6014.4,1927.1,30.382
280,2,3106.5,6589.7,1704.4,22.721
281,2,1394.4,2974.9,579.25,15.502
282,2,2203.2,4626.2,1258.8,15.994
283,2,2222.9,4698.1,1233.2,17.447
284,2,1988.4,3959.9,1142.8,10.639
285,2,2527.6,5421.6,1397.5,17.516
286,2,1940.9,4119.6,888.79,12.616
287,2,2239.2,4994.0,956.93,16.46
288,2,2632.1,5420.6,1679.9,22.296
289,2,2476.6,5174.1,1314.4,18.561
290,2,2183.3,4778.2,1136.8,18.9
291,2,2503.4,5170.9,1482.7,21.13
292,2,2160.6,5413.0,795.51,18.84
293,2,2966.0,6063.5,1656.6,11.307
