,set,spectral_centroid,rolloff,zecr,flux
0,0,1961.5,4271.2,1087.1,13.937
1,0,1533.7,3232.3,725.69,12.007
2,0,1654.1,3453.7,841.6,15.007
3,0,1770.1,3762.5,940.61,12.263
4,0,1875.1,3944.7,948.01,15.471
5,0,1636.4,3385.2,824.35,13.619
6,0,1298.6,2506.5,669.72,12.885
7,0,1617.8,3314.7,820.91,12.864
8,0,1563.8,3264.0,787.52,14.601
9,0,1424.3,2720.4,685.44,11.733
10,0,2018.6,4145.3,1150.7,7.791
11,0,1837.0,4020.1,792.82,11.896
12,0,2188.5,4574.4,1275.7,13.353
13,0,1504.1,3000.8,801.38,16.264
14,0,1582.2,3339.8,728.85,16.368
15,0,1737.5,3860.4,773.5,18.819
16,0,1941.5,4428.4,885.88,27.515
17,0,1722.4,3480.1,909.32,21.442
18,0,1753.6,3729.7,871.06,16.294
19,0,1639.5,3442.6,808.83,19.365
20,0,1505.5,3138.9,663.26,18.03
21,0,1913.8,4075.5,1032.1,23.761
22,0,1892.6,4197.5,804.84,27.906
23,0,2258.3,4785.6,1345.7,15.982
24,0,1677.6,3478.0,828.85,16.479
25,0,1574.8,3208.4,832.64,16.175
26,0,1697.7,3619.0,842.33,17.748
27,0,1994.9,4307.3,997.04,19.679
28,0,1499.0,3039.9,743.67,12.827
29,0,1397.8,3100.3,497.67,16.196
30,0,1642.7,3418.3,787.17,14.297
31,0,1481.1,3148.7,668.31,16.805
32,0,1476.6,3081.3,740.49,11.321
33,0,1450.9,2964.2,661.18,12.101
34,0,1182.2,2411.7,509.19,15.134
35,0,1522.4,3237.6,689.43,12.65
36,0,1624.1,3553.3,670.98,13.382
37,0,1583.6,3417.6,718.15,16.013
38,0,1536.7,3137.2,720.47,8.8722
39,0,1128.2,2002.3,309.96,15.963
40,0,1903.1,3591.1,1123.7,6.0521
41,0,1642.0,3454.5,666.42,15.247
42,0,2249.0,4580.2,1178.9,10.126
43,0,1384.1,2614.0,859.94,14.509
44,0,2160.6,4876.6,978.31,26.285
45,0,3822.8,7542.6,2456.5,15.797
46,0,2098.7,4664.4,901.97,12.16
47,0,2272.5,4398.8,1286.8,16.252
48,0,2421.8,5179.6,1254.6,19.046
49,0,2194.7,5055.4,901.0,20.306
50,0,2268.6,5116.0,1415.1,21.54
51,0,3920.8,7192.3,2997.4,19.312
52,0,3022.1,6711.8,1499.2,34.205
53,0,1818.0,3726.9,995.05,9.6549
54,0,2198.3,4840.9,1121.3,13.101
55,0,2205.7,4777.9,916.36,17.009
56,0,1915.0,4074.5,941.69,13.912
57,0,1929.5,4116.0,886.61,15.019
58,0,2340.9,4847.4,1236.9,14.104
59,0,2388.9,5164.2,1307.6,19.665
60,0,2225.1,4454.5,1323.0,3.4144
61,0,2800.8,5841.1,1487.4,28.935
62,0,1783.2,4006.7,697.19,8.0924
63,0,1729.2,3533.1,931.1,12.814
64,0,2633.6,6019.3,1119.6,26.729
65,0,1817.9,3758.1,928.43,39.613
66,0,1500.7,2942.4,765.35,19.583
67,0,1627.4,3204.4,683.71,19.286
68,0,1824.2,3693.9,877.51,12.074
69,0,2108.9,4479.7,911.49,16.65
70,0,2020.3,4404.6,689.43,16.659
71,0,2674.4,5611.2,1335.1,20.749
72,0,2776.3,5944.6,1516.6,22.891
73,0,1939.9,4477.7,582.96,28.482
74,0,1937.2,4475.0,582.27,28.482
75,0,2341.6,4573.3,1483.3,26.085
76,0,2141.3,4392.0,996.2,29.096
77,0,1672.6,3557.6,696.88,17.683
78,0,1993.6,4008.1,1033.1,15.05
79,0,2796.5,5001.0,2055.5,13.35
80,0,2305.1,4832.4,1058.7,29.103
81,0,2307.7,4880.3,1108.2,26.755
82,0,2307.7,4880.3,1108.2,26.755
83,0,1238.9,2272.6,788.03,7.3558
84,0,1656.8,3436.1,849.02,17.547
85,0,1706.3,3294.7,1123.4,17.286
86,0,2026.8,6370.3,2963.0,83.321
87,0,2638.7,5902.3,1346.2,26.025
88,0,3566.6,7886.6,2058.4,20.007
89,0,966.52,1785.1,444.77,21.447
90,0,2494.4,5142.7,1429.1,20.896
91,0,2183.8,4314.9,1361.0,10.869
92,0,2049.9,4069.0,1321.2,14.487
93,0,1877.0,3848.3,994.13,16.706
94,0,1860.7,3539.0,1068.7,20.276
95,0,2540.2,5540.0,1164.2,28.28
96,0,1548.0,3005.9,910.98,18.543
97,0,1863.7,3859.4,1052.1,14.617
98,0,1835.6,3919.2,743.82,17.644
99,0,2234.1,4381.5,1536.0,27.892
100,1,3102.5,6170.8,1995.7,21.496
101,1,2804.6,5878.4,1664.1,18.102
102,1,2113.8,4326.3,1396.0,23.836
103,1,2665.6,5131.5,1820.5,28.059
104,1,3296.1,6769.3,2110.9,12.975
105,1,2364.8,4824.3,1477.3,21.147
106,1,3110.2,6083.5,2180.9,9.2069
107,1,2882.1,5747.1,1841.3,13.599
108,1,2777.4,5900.6,1539.5,10.897
109,1,2173.7,5006.7,1046.4,57.681
110,1,2984.4,5584.3,2166.3,23.577
111,1,2665.7,5125.5,1895.3,44.556
112,1,2718.9,5120.0,1936.8,22.034
113,1,3000.9,5651.7,2230.8,17.766
114,1,2797.1,5095.6,2031.9,14.974
115,1,2891.9,5678.9,1842.1,21.47
116,1,2688.5,5045.4,1967.2,53.685
117,1,2659.5,5310.7,1735.3,24.637
118,1,2279.6,3897.7,2002.1,24.476
119,1,2674.9,5339.2,1770.5,21.3
120,1,2632.7,5302.1,1665.2,23.853
121,1,2950.4,5630.9,2105.4,20.242
122,1,2090.6,4592.7,1165.4,32.747
123,1,2435.8,4884.4,1434.6,34.036
124,1,2310.4,4799.6,1421.6,43.23
125,1,2296.0,4461.6,1393.7,19.655
126,1,2791.3,5142.6,2144.1,25.241
127,1,2352.7,4798.1,1419.2,31.515
128,1,2694.6,5227.7,1965.4,26.357
129,1,2823.0,5774.3,1810.5,15.867
130,1,1424.1,3172.9,582.47,39.539
131,1,2427.3,5194.9,1381.3,37.668
132,1,2385.2,4601.3,1617.5,23.642
133,1,1984.6,4141.8,1132.9,46.095
134,1,2576.2,5129.3,1764.8,16.539
135,1,2738.2,5510.9,1778.7,48.024
136,1,2644.4,5265.2,1761.4,22.212
137,1,2204.3,4669.8,1359.8,19.214
138,1,2543.5,4862.5,1633.1,24.714
139,1,1924.8,4192.5,946.07,22.938
140,1,2628.8,4994.8,1819.5,19.787
141,1,2173.7,4078.0,1501.1,17.815
142,1,2385.8,4449.2,1659.7,16.76
143,1,2615.5,4881.0,1939.4,17.493
144,1,2680.1,5142.3,1871.6,18.572
145,1,2303.8,4333.5,1592.9,15.776
146,1,2702.7,5357.5,1791.8,38.339
147,1,2822.7,5340.8,1968.8,38.488
148,1,2779.7,5384.5,1930.8,38.948
149,1,2870.8,5355.5,2118.0,40.697
150,1,2862.0,5483.6,1940.7,45.524
151,1,3238.8,6007.9,2484.5,41.929
152,1,2579.5,4915.7,1778.6,46.07
153,1,2808.9,5404.4,1897.7,42.221
154,1,2998.2,5717.8,2146.4,38.671
155,1,2990.1,5600.7,2164.3,41.855
156,1,2904.1,5533.4,1983.3,42.829
157,1,2556.0,5021.3,1593.2,34.368
158,1,2396.8,4897.2,1561.7,35.044
159,1,2382.2,4662.1,1641.9,33.411
160,1,2250.9,4528.0,1511.5,23.798
161,1,2628.8,4994.8,1819.5,19.787
162,1,2173.7,4078.0,1501.1,17.815
163,1,2385.8,4449.2,1659.7,16.76
164,1,2615.5,4881.0,1939.4,17.493
165,1,2680.1,5142.3,1871.6,18.572
166,1,2303.8,4333.5,1592.9,15.776
167,1,2160.0,4248.9,1315.4,24.589
168,1,2208.4,4468.4,1428.8,18.557
169,1,1628.1,3858.5,602.16,25.897
170,1,2644.2,5468.7,1552.3,9.0781
171,1,2701.7,5520.0,1669.5,21.904
172,1,2251.2,4582.2,1278.4,33.058
173,1,2499.2,5296.7,1340.9,53.617
174,1,2595.6,5352.7,1464.4,8.172
175,1,1937.5,4129.0,972.66,41.467
176,1,2691.0,5253.0,1769.7,18.629
177,1,2653.8,5319.1,1753.8,27.912
178,1,2647.9,5620.2,1449.9,52.007
179,1,2588.7,5172.9,1582.5,22.567
180,1,2731.3,5770.7,1582.9,27.301
181,1,2045.7,4035.1,1327.5,35.03
182,1,2348.2,4703.0,1564.3,25.9
183,1,2234.7,4553.8,1347.9,38.137
184,1,2401.1,4862.2,1510.6,44.239
185,1,2521.6,5132.1,1721.6,28.579
186,1,2530.1,5060.4,1739.1,16.173
187,1,3166.6,6491.6,2024.2,49.572
188,1,1885.8,3943.2,1030.8,22.023
189,1,1378.1,3096.7,529.11,41.081
190,1,2045.4,4515.0,946.99,23.681
191,1,2195.0,4797.9,1329.6,18.432
192,1,1980.0,4228.7,1034.6,25.107
193,1,2552.4,5082.6,1531.4,16.339
194,1,2576.2,5129.3,1764.8,16.539
195,1,2307.7,4948.3,1307.8,32.888
196,1,2420.6,4999.4,1409.9,34.668
197,1,1957.3,4168.9,984.62,35.821
198,1,2137.8,4315.0,1235.0,24.951
199,1,2266.5,4737.7,1198.6,29.568
200,2,2546.1,5200.5,1628.9,25.112
201,2,2439.7,4944.1,1085.8,36.855
202,2,1424.5,2825.5,656.7,15.974
203,2,2269.9,4618.4,1158.2,44.981
204,2,2105.5,4341.2,1116.6,30.197
205,2,2588.5,5598.4,1370.8,46.877
206,2,2624.2,5559.0,1417.2,46.412
207,2,1892.3,4076.2,873.47,42.882
208,2,2853.5,5403.9,1925.4,22.993
209,2,2080.4,4442.6,1057.3,43.866
210,2,2244.3,4547.5,1362.9,33.107
211,2,2063.9,4463.6,1056.4,38.688
212,2,1900.4,4069.0,970.9,34.277
213,2,1732.1,3416.7,1065.9,24.605
214,2,2327.1,4591.0,1462.8,33.095
215,2,2303.5,5075.4,1285.8,25.102
216,2,2271.4,4571.8,1220.0,30.976
217,2,2039.2,4678.4,897.7,31.768
218,2,2683.0,5297.6,1607.1,31.293
219,2,2196.2,4611.5,1084.6,42.318
220,2,2356.2,4784.7,1205.3,21.769
221,2,2327.0,4805.7,1341.7,43.294
222,2,1871.4,4165.4,846.79,29.608
223,2,2109.4,4429.3,1183.7,30.016
224,2,2387.3,4615.3,1531.4,32.992
225,2,2161.2,4536.8,1183.2,41.368
226,2,3235.2,6622.0,1896.4,27.506
227,2,2352.0,5067.6,1128.1,20.674
228,2,2510.2,5222.6,1233.7,24.962
229,2,2760.3,5868.0,1256.5,23.245
230,2,3647.4,7534.5,1887.2,37.505
231,2,2856.2,6391.4,1506.6,33.963
232,2,1967.1,4094.2,892.69,20.612
233,2,2865.1,5947.7,1674.7,34.253
234,2,3099.4,6200.1,1861.0,41.876
235,2,2504.3,5610.3,1152.2,24.523
236,2,2507.5,4974.4,1286.2,12.883
237,2,3453.8,6779.5,2369.7,27.022
238,2,2272.2,4595.5,1116.1,50.509
239,2,2461.2,5341.9,1186.7,31.73
240,2,2132.8,4482.7,1044.2,19.036
241,2,2564.3,5340.4,1334.2,30.698
242,2,2633.1,5548.9,1138.0,35.901
243,2,1634.4,3332.5,689.57,21.901
244,2,2311.9,4085.8,1509.2,5.9095
245,2,2461.2,5341.9,1186.7,31.73
246,2,2139.2,4612.3,1013.1,39.373
247,2,2881.9,6766.1,1184.4,39.96
248,2,2301.4,5188.4,891.59,39.98
249,2,2962.5,6417.8,1195.9,50.899
250,2,1500.0,3056.5,484.69,38.841
251,2,2290.4,4802.8,1112.5,36.874
252,2,2374.2,5232.4,901.3,18.256
253,2,2776.3,6313.0,1178.3,19.127
254,2,3073.5,7249.3,1383.1,21.666
255,2,1619.7,3223.0,806.95,19.23
256,2,2146.6,4795.1,781.47,25.627
257,2,1700.6,3551.8,575.26,32.556
258,2,2552.2,5035.7,1514.7,24.032
259,2,1842.4,3940.4,703.14,26.534
260,2,1557.6,3285.6,604.09,22.965
261,2,1727.6,3554.8,749.9,27.849
262,2,2175.1,4438.5,1216.7,30.252
263,2,2319.5,4770.0,1348.4,28.458
264,2,2188.4,4766.5,877.67,35.192
265,2,2139.4,4578.0,985.56,33.61
266,2,2036.3,4288.6,872.81,25.701
267,2,2689.0,6143.9,1378.0,36.587
268,2,2433.9,5376.5,1075.0,39.908
269,2,3132.7,6787.0,1346.0,47.403
270,2,2229.7,5253.1,766.45,42.437
271,2,2816.3,6852.2,1145.1,35.663
272,2,1661.0,3465.3,604.4,36.595
273,2,2330.6,5245.6,937.59,51.455
274,2,2602.0,5658.8,1221.5,33.954
275,2,2756.1,5940.8,1636.3,31.662
276,2,2078.7,4346.6,1087.6,30.418
277,2,2805.9,6147.0,1531.5,42.463
278,2,2078.7,4346.6,1087.6,30.418
