,set,spectral_centroid,rolloff,zecr,flux
0,0,122.62,388.77,105.89,2.468
1,0,94.676,256.45,125.43,2.4471
2,0,135.44,329.78,96.695,1.2851
3,0,117.93,408.63,120.53,1.1183
4,0,191.18,486.82,123.93,1.1129
5,0,130.21,265.74,139.94,1.6598
6,0,280.59,666.49,183.74,1.2064
7,0,182.87,497.73,128.02,0.819
8,0,246.03,597.23,175.69,1.9113
9,0,107.69,280.77,65.112,1.0524
10,0,216.93,448.51,180.36,1.8019
11,0,141.4,375.47,96.016,1.2566
12,0,339.61,579.38,350.21,3.1624
13,0,236.26,490.49,205.26,1.4196
14,0,191.12,464.3,159.0,2.077
15,0,196.33,465.91,134.78,1.1481
16,0,140.26,238.96,166.97,2.3231
17,0,261.78,489.9,227.51,1.7971
18,0,282.61,576.45,226.8,1.4465
19,0,219.83,566.56,152.59,1.7891
20,0,167.63,375.86,155.19,1.535
21,0,131.9,267.5,146.77,2.262
22,0,96.419,311.57,128.97,1.9463
23,0,535.65,960.31,628.6,4.5685
24,0,243.71,570.04,175.24,1.0285
25,0,182.96,448.89,152.77,2.2059
26,0,194.6,504.97,138.68,1.4085
27,0,261.68,484.12,259.6,1.8443
28,0,130.72,259.27,144.24,0.77286
29,0,145.21,446.99,95.752,1.1068
30,0,151.65,306.87,142.88,0.93031
31,0,180.41,351.98,168.92,2.1418
32,0,130.6,258.26,150.99,2.1057
33,0,233.01,501.22,243.25,1.2964
34,0,65.152,190.68,69.638,1.6229
35,0,108.72,266.0,82.993,0.55743
36,0,205.47,442.73,141.08,1.281
37,0,189.03,360.6,203.91,1.134
38,0,158.13,358.0,151.33,1.4837
39,0,48.659,158.89,26.243,3.5604
40,0,357.88,665.5,374.61,2.1323
41,0,106.04,240.56,128.77,1.3201
42,0,160.05,420.45,120.63,1.3675
43,0,71.27,121.29,77.008,1.9439
44,0,193.06,468.75,137.31,2.5376
45,0,269.72,471.61,221.42,1.3008
46,0,102.26,236.12,99.857,1.0181
47,0,204.46,367.66,202.49,2.1872
48,0,177.2,383.6,139.5,0.92073
49,0,142.43,349.56,126.88,1.3037
50,0,198.36,407.92,214.17,1.6406
51,0,237.93,292.69,355.83,0.8185
52,0,143.17,268.32,168.54,3.3613
53,0,222.34,450.57,209.27,1.4074
54,0,231.17,581.68,136.41,1.0963
55,0,181.27,378.99,136.43,0.79893
56,0,173.93,366.06,174.64,1.5624
57,0,314.18,761.8,221.18,1.8203
58,0,323.01,627.02,337.62,1.3098
59,0,216.92,516.91,163.73,2.0235
60,0,234.64,476.14,189.57,0.77938
61,0,286.79,504.94,404.27,1.3643
62,0,155.25,346.75,117.04,0.92611
63,0,118.87,212.0,153.22,1.4468
64,0,159.8,425.6,124.61,1.782
65,0,195.15,393.34,139.46,3.2225
66,0,97.051,199.1,73.305,1.0558
67,0,125.55,324.39,76.201,1.2745
68,0,156.27,350.6,100.84,1.3081
69,0,170.48,446.2,180.09,1.7549
70,0,238.99,561.77,81.985,2.8085
71,0,352.2,653.07,263.7,2.1787
72,0,156.14,326.96,172.99,2.3981
73,0,106.29,326.06,54.189,2.9792
74,0,105.47,329.16,54.038,3.025
75,0,100.13,254.95,113.77,5.0659
76,0,344.4,809.46,236.13,2.2638
77,0,233.73,488.95,146.41,1.4752
78,0,214.52,413.54,235.77,1.0968
79,0,215.31,265.88,341.15,3.4401
80,0,209.04,349.61,165.12,1.3806
81,0,216.89,399.47,156.04,1.5465
82,0,216.89,399.47,156.04,1.5465
83,0,314.72,745.9,333.52,2.5502
84,0,172.77,307.8,129.25,1.5567
85,0,202.01,290.12,264.05,4.4415
86,0,367.52,1971.4,1074.4,26.91
87,0,379.36,694.6,339.74,3.1919
88,0,166.23,221.83,300.38,1.2698
89,0,114.12,245.87,83.011,1.8651
90,0,155.73,390.78,203.05,2.0651
91,0,113.15,253.42,129.04,1.6571
92,0,105.16,222.93,132.32,2.2257
93,0,164.6,408.65,137.07,3.1885
94,0,175.24,418.95,132.42,1.9122
95,0,142.77,217.22,166.27,2.0843
96,0,175.6,268.77,231.01,1.3115
97,0,124.99,274.71,146.89,4.2989
98,0,136.01,311.81,93.54,1.3797
99,0,136.83,131.18,233.84,2.5693
100,1,165.93,541.19,177.46,1.9044
101,1,127.01,321.27,173.25,1.8586
102,1,121.92,261.04,157.73,1.7477
103,1,103.33,175.56,160.85,2.7111
104,1,133.83,254.2,146.26,0.64068
105,1,143.3,264.89,126.07,1.4306
106,1,277.43,490.56,254.48,1.0012
107,1,161.7,465.87,142.39,0.51593
108,1,245.97,493.41,258.87,0.50791
109,1,94.028,154.05,73.716,4.9117
110,1,149.5,170.22,284.01,0.73638
111,1,117.69,132.8,232.58,0.62853
112,1,97.272,178.22,120.12,0.96343
113,1,116.88,198.78,132.54,1.0524
114,1,138.63,282.31,183.41,1.9493
115,1,172.65,329.05,167.23,1.4327
116,1,94.789,158.87,161.35,2.3866
117,1,141.59,193.71,230.33,1.642
118,1,242.64,372.98,257.75,0.45458
119,1,147.62,302.84,146.88,4.5638
120,1,184.32,341.71,195.33,3.267
121,1,178.47,291.88,248.72,1.5209
122,1,80.807,138.34,103.8,1.8987
123,1,168.88,256.54,205.15,5.5749
124,1,124.56,206.84,212.31,2.5193
125,1,241.55,395.39,249.96,1.6411
126,1,89.912,93.199,344.03,2.6867
127,1,111.44,198.09,131.76,2.4977
128,1,103.14,331.45,82.264,0.91523
129,1,152.98,161.26,200.15,1.7416
130,1,141.54,309.34,122.63,4.8604
131,1,141.84,185.85,195.59,1.7421
132,1,102.88,197.34,147.65,2.3633
133,1,394.22,571.27,351.56,1.8048
134,1,220.97,302.53,225.01,2.4231
135,1,239.3,559.49,232.02,7.9577
136,1,165.8,268.49,254.36,3.8289
137,1,91.506,160.37,131.15,1.1696
138,1,398.68,895.83,213.06,10.579
139,1,483.56,1021.8,332.11,6.5023
140,1,149.23,360.31,134.79,1.3747
141,1,115.4,200.58,140.07,1.9958
142,1,108.62,258.49,111.94,0.97429
143,1,260.67,634.83,194.5,2.1104
144,1,162.01,353.8,129.5,1.8885
145,1,122.98,227.99,245.19,2.9863
146,1,165.78,280.34,185.69,1.1227
147,1,292.81,558.5,295.81,3.8352
148,1,159.26,335.35,154.79,3.9069
149,1,80.008,157.23,86.014,1.7047
150,1,130.8,255.97,143.57,3.2856
151,1,249.33,326.34,349.98,2.0838
152,1,274.33,461.54,319.09,3.0027
153,1,131.72,226.94,151.25,3.2616
154,1,97.481,165.01,124.48,2.1529
155,1,113.34,211.4,111.07,2.8669
156,1,157.04,281.18,149.94,2.7908
157,1,139.95,260.89,125.73,2.7147
158,1,130.29,282.43,126.55,3.0417
159,1,115.03,201.72,138.88,3.673
160,1,191.53,188.05,285.18,1.7274
161,1,149.23,360.31,134.79,1.3747
162,1,115.4,200.58,140.07,1.9958
163,1,108.62,258.49,111.94,0.97429
164,1,260.67,634.83,194.5,2.1104
165,1,162.01,353.8,129.5,1.8885
166,1,122.98,227.99,245.19,2.9863
167,1,102.91,168.66,131.48,1.1133
168,1,157.78,291.94,151.43,2.6917
169,1,124.34,326.59,108.54,1.1151
170,1,362.66,536.44,335.47,2.6469
171,1,154.99,223.2,168.87,1.992
172,1,79.758,120.13,102.65,0.81691
173,1,149.98,287.57,138.95,3.7042
174,1,211.77,381.45,174.67,1.1264
175,1,327.73,683.86,213.76,13.351
176,1,185.48,492.79,180.21,4.5884
177,1,135.72,215.84,171.01,2.1587
178,1,170.3,320.9,172.98,3.0449
179,1,165.61,260.06,205.04,1.8773
180,1,133.66,239.21,151.44,5.1548
181,1,136.46,213.4,164.88,3.1869
182,1,76.863,207.35,101.25,2.5415
183,1,148.99,291.81,142.55,1.0351
184,1,117.6,215.26,140.49,4.0489
185,1,80.74,222.2,115.04,4.5483
186,1,126.27,223.73,135.61,1.5954
187,1,162.58,286.47,161.53,2.9198
188,1,235.75,367.87,258.38,2.6525
189,1,180.44,325.67,154.24,5.3226
190,1,279.36,457.35,310.23,2.1488
191,1,233.22,383.28,279.14,2.7911
192,1,129.82,256.94,117.01,1.6014
193,1,81.251,83.192,131.84,1.1198
194,1,220.97,302.53,225.01,2.4231
195,1,156.1,326.34,190.8,3.8454
196,1,267.5,504.07,238.17,2.314
197,1,334.54,559.7,296.35,5.0163
198,1,376.62,594.5,409.04,4.2693
199,1,118.2,187.92,176.13,2.5671
200,2,210.79,480.21,202.7,1.5143
201,2,121.55,179.15,187.09,2.3247
202,2,233.63,416.25,227.15,1.7819
203,2,145.52,233.22,236.15,2.1745
204,2,198.76,425.21,204.03,3.088
205,2,92.31,143.12,86.049,3.0468
206,2,206.63,386.18,237.3,6.9085
207,2,109.86,280.59,75.333,3.6826
208,2,325.95,386.15,434.26,4.1276
209,2,568.63,872.26,568.76,14.715
210,2,201.4,257.7,312.08,4.2081
211,2,202.07,377.2,214.25,3.3595
212,2,142.81,347.43,110.51,4.1983
213,2,521.78,1392.9,225.35,4.5334
214,2,220.42,334.06,268.25,2.6626
215,2,146.21,357.28,136.15,4.6028
216,2,118.96,208.24,141.18,1.5363
217,2,83.044,215.08,108.38,1.8598
218,2,346.63,338.25,500.0,4.9032
219,2,261.34,447.05,274.21,4.4292
220,2,219.84,253.45,344.49,1.6428
221,2,265.41,297.46,302.63,2.8645
222,2,154.52,312.51,170.7,4.5487
223,2,165.4,335.9,144.51,4.0092
224,2,113.88,214.91,105.25,4.6046
225,2,174.03,338.63,165.94,2.9048
226,2,237.07,560.02,303.79,2.633
227,2,256.87,527.79,205.41,0.93381
228,2,257.47,456.95,270.36,2.3749
229,2,155.77,258.24,223.45,1.4903
230,2,52.181,58.988,54.733,0.69289
231,2,217.47,611.41,233.93,2.3601
232,2,317.37,664.62,331.18,3.4054
233,2,488.42,1024.5,400.84,4.1995
234,2,127.58,266.47,179.77,3.4238
235,2,157.24,290.35,189.04,1.3209
236,2,412.87,593.97,492.43,5.18
237,2,353.62,747.83,320.13,2.5123
238,2,132.28,385.64,231.75,14.084
239,2,370.76,825.22,459.33,9.6361
240,2,704.82,1745.9,470.65,7.9149
241,2,176.52,384.34,118.11,4.8971
242,2,235.79,442.65,194.58,2.9815
243,2,143.31,327.09,149.99,6.1041
244,2,704.57,1247.3,667.35,2.5148
245,2,370.76,825.22,459.33,9.6361
246,2,137.53,271.88,235.82,5.3508
247,2,183.2,302.93,288.34,4.5404
248,2,381.33,868.42,199.89,7.343
249,2,79.901,113.34,75.569,1.4299
250,2,101.33,297.44,47.525,3.5958
251,2,237.73,464.76,237.42,3.5942
252,2,368.09,727.74,234.8,0.76193
253,2,308.53,579.6,258.67,1.408
254,2,158.25,222.5,180.01,0.95717
255,2,107.93,255.27,101.13,1.499
256,2,87.09,192.39,48.927,1.6838
257,2,139.89,346.34,72.937,1.7852
258,2,234.71,290.99,245.81,2.1327
259,2,352.12,720.6,225.61,1.6895
260,2,170.67,259.46,218.68,1.9243
261,2,129.79,292.23,107.59,1.118
262,2,262.71,539.89,246.65,4.1058
263,2,223.49,530.83,239.39,3.8053
264,2,179.71,211.93,243.24,4.4415
265,2,262.81,563.96,197.76,6.0622
266,2,181.6,404.68,157.94,5.5664
267,2,139.22,366.04,192.64,4.7607
268,2,129.08,304.12,109.51,6.5691
269,2,179.11,266.19,192.94,5.1451
270,2,273.22,777.8,121.51,3.5542
271,2,330.52,993.17,217.21,5.7308
272,2,261.72,506.43,252.47,4.8267
273,2,399.96,636.09,501.71,9.7854
274,2,170.92,262.06,141.14,2.2538
275,2,230.44,362.08,314.32,4.0314
276,2,427.46,630.53,431.44,2.899
277,2,474.76,1007.2,333.93,4.3667
278,2,427.46,630.53,431.44,2.899
279,2,203.53,394.26,243.49,4.3897
280,2,175.2,533.82,142.45,2.1881
281,2,125.13,364.85,97.421,1.5808
282,2,140.91,218.46,168.13,0.70005
283,2,135.02,317.34,148.2,0.99996
284,2,386.18,761.46,288.34,0.79861
285,2,86.587,149.14,118.58,1.1367
286,2,180.61,439.62,161.17,1.1507
287,2,105.74,154.38,143.21,0.92471
288,2,123.84,183.77,218.48,2.1396
289,2,139.07,196.81,158.92,1.0564
290,2,96.557,187.98,107.59,1.1416
291,2,110.07,208.89,129.41,2.3465
292,2,102.31,276.79,85.117,1.1547
293,2,199.61,134.78,321.72,1.4641
294,2,129.53,343.85,102.76,0.74577
295,2,133.02,196.84,184.84,3.2415
296,2,59.714,127.45,54.653,1.9381
297,2,368.46,376.59,492.33,1.8701
298,2,111.06,175.1,122.28,1.2624
299,2,182.06,308.98,164.06,3.0051
300,3,232.15,423.59,304.08,1.5672
301,3,165.28,337.49,179.9,1.7396
302,3,134.72,196.15,132.63,3.0475
303,3,126.3,242.7,214.49,1.4705
304,3,237.79,533.01,225.77,3.7582
305,3,157.08,285.09,218.21,1.8648
306,3,154.53,314.32,118.54,1.7123
307,3,108.73,185.62,166.57,2.3071
308,3,97.222,266.41,118.78,2.4908
309,3,181.46,333.75,241.86,2.759
310,3,100.43,211.61,145.64,2.3417
311,3,126.43,235.88,189.31,1.2203
312,3,109.4,274.12,104.93,1.716
313,3,186.26,292.25,205.19,1.9281
314,3,142.29,310.57,187.36,1.788
315,3,220.54,606.29,155.73,2.1196
316,3,132.33,274.3,121.76,1.8617
317,3,236.44,476.61,225.11,1.3821
318,3,143.11,300.62,148.36,4.0351
319,3,277.84,412.44,306.01,4.9093
320,3,288.46,597.51,199.14,2.0902
321,3,294.71,955.06,118.71,2.2725
322,3,188.74,444.96,186.16,1.4416
323,3,161.12,297.28,185.98,1.9959
324,3,185.12,442.66,144.44,2.0108
325,3,136.86,264.54,121.67,1.0667
326,3,203.52,364.36,192.48,1.4457
327,3,128.59,294.94,121.56,1.7581
328,3,168.5,273.76,234.08,1.9867
329,3,137.23,336.54,161.08,2.702
330,3,269.75,578.21,280.25,2.032
