,set,spectral_centroid,rolloff,zecr,flux
0,0,352.91,856.75,290.8,8.2736
1,0,328.61,701.43,264.82,4.5751
2,0,230.19,616.95,173.36,3.7908
3,0,290.27,556.64,190.55,3.9296
4,0,255.71,587.77,248.86,3.1005
5,0,335.87,719.67,314.67,10.088
6,0,313.5,757.87,233.59,4.3158
7,0,454.78,1093.2,195.96,3.5765
8,0,266.33,450.85,338.37,3.0569
9,0,254.93,568.87,243.72,6.7708
10,0,185.68,409.4,152.99,3.1342
11,0,252.85,630.61,231.77,2.4184
12,0,242.83,477.95,280.79,6.1956
13,0,324.75,1042.8,167.95,2.6627
14,0,157.38,320.89,179.86,1.2441
15,0,243.32,581.39,253.23,4.1577
16,0,500.5,920.27,506.45,11.117
17,0,277.56,796.01,275.26,2.5914
18,0,325.32,808.29,217.93,2.9335
19,0,337.97,742.94,381.81,5.2912
20,0,239.15,552.34,251.47,7.6038
21,0,336.76,861.15,395.78,5.3741
22,0,243.07,580.94,251.45,4.2598
23,0,318.24,718.3,298.43,5.7188
24,0,337.16,883.22,257.96,6.1044
25,0,232.15,676.99,206.14,3.202
26,0,275.98,724.39,199.54,8.0541
27,0,266.12,607.53,223.71,3.7583
28,0,211.72,553.09,174.29,5.015
29,0,221.68,605.94,172.58,3.3125
30,0,275.6,680.06,273.64,5.5725
31,0,287.9,671.56,281.31,5.802
32,0,389.5,702.26,387.58,2.3427
33,0,281.2,863.55,183.11,5.7199
34,0,274.88,645.48,269.96,5.1267
35,0,266.91,605.45,261.38,9.4421
36,0,166.38,490.51,161.51,5.7991
37,0,438.29,760.39,272.56,6.792
38,0,275.9,601.23,230.13,3.9829
39,0,387.92,799.7,400.39,7.4405
40,0,142.06,279.55,220.83,10.797
41,0,223.8,543.91,197.68,2.5469
42,0,263.89,644.44,279.73,4.5885
43,0,333.67,726.82,272.46,7.4078
44,0,240.63,549.43,229.17,4.2008
45,0,483.45,1181.8,430.11,4.326
46,0,497.67,1181.6,432.49,4.64
47,0,401.71,849.73,329.96,4.3595
48,0,715.76,1224.7,613.1,4.0382
49,0,483.41,1017.5,381.85,8.0777
50,0,253.82,553.88,234.83,4.2775
51,0,504.19,832.35,575.04,5.2397
52,0,246.51,576.66,223.53,4.5846
53,0,311.19,883.83,318.63,5.2668
54,0,280.84,613.89,201.79,5.5145
55,0,346.96,704.78,364.77,4.7895
56,0,455.46,859.45,465.53,6.5976
57,0,246.32,578.85,226.59,4.7085
58,0,176.8,377.84,209.14,4.3216
59,0,453.23,868.63,466.95,6.5983
